Vertices (V),Edges (E),Time (seconds)
1000000,1000000,0.234274
1000000,2000000,0.403702
1000000,3000000,0.552781
1000000,4000000,0.747199
1000000,5000000,0.966431
2000000,2000000,0.006395
2000000,4000000,0.805063
2000000,6000000,1.215489
2000000,8000000,1.605980
2000000,10000000,2.089497
3000000,3000000,0.738303
3000000,6000000,1.338934
3000000,9000000,1.821428
3000000,12000000,2.484839
3000000,15000000,3.312580
4000000,4000000,1.020870
4000000,8000000,1.710339
4000000,12000000,2.522506
4000000,16000000,3.412965
4000000,20000000,4.435482
5000000,5000000,0.009743
5000000,10000000,2.197207
5000000,15000000,3.345080
5000000,20000000,4.339670
5000000,25000000,5.638347
