n,W,time_ms
2500,2500,48.9010
2500,5000,92.7970
2500,7500,139.9630
2500,10000,203.9360
2500,12500,221.5770
2500,15000,258.6120
2500,17500,320.5740
2500,20000,328.1810
5000,2500,97.2550
5000,5000,188.1200
5000,7500,279.1970
5000,10000,406.1400
5000,12500,479.6660
5000,15000,577.0370
5000,17500,637.3480
5000,20000,750.3690
7500,2500,142.2620
7500,5000,281.9770
7500,7500,419.4900
7500,10000,576.7760
7500,12500,714.5260
7500,15000,823.3670
7500,17500,988.1020
7500,20000,1116.7110
10000,2500,189.0950
10000,5000,375.1150
10000,7500,561.3980
10000,10000,781.7830
10000,12500,968.0090
10000,15000,1119.5780
10000,17500,1341.5330
10000,20000,1540.0570
12500,2500,232.5560
12500,5000,466.7170
12500,7500,701.5510
12500,10000,972.0270
12500,12500,1227.8950
12500,15000,1452.2500
12500,17500,1728.8990
12500,20000,1935.0700
15000,2500,277.1650
15000,5000,570.4730
15000,7500,847.5410
15000,10000,1172.1750
15000,12500,1457.2540
15000,15000,1727.3870
15000,17500,2010.5060
15000,20000,2260.7020
17500,2500,322.8220
17500,5000,661.3950
17500,7500,975.4770
17500,10000,1336.8760
17500,12500,1694.5290
17500,15000,1986.1460
17500,17500,2318.9990
17500,20000,2639.5560
20000,2500,370.0470
20000,5000,747.8700
20000,7500,1117.0620
20000,10000,1506.6010
20000,12500,1897.6520
20000,15000,2255.8310
20000,17500,2743.8880
20000,20000,3039.6860
